"FileName","Extension","SizeKB","UsedOnAnyGrinsHtmlPage","ProposedCharacter","ProposedPageFile","ProposedSection","PageAlreadyExists","ProposedAction","ReviewNotes","FullPath"
"Barney Grin front 1 COLOR.jpg",".jpg","214.6","True","Barney Grin","barney-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin front 1 COLOR.jpg"
"Barney Grin front 1 ORIGINAL.jpg",".jpg","236.4","True","Barney Grin","barney-grin.html","Original Drawing","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin front 1 ORIGINAL.jpg"
"Barney Grin front 2 B&W.jpg",".jpg","187.8","True","Barney Grin","barney-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin front 2 B&W.jpg"
"Barney Grin front 2 COLOR.jpg",".jpg","194","True","Barney Grin","barney-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin front 2 COLOR.jpg"
"Barney Grin front 2 ORIGINAL.jpg",".jpg","202.8","True","Barney Grin","barney-grin.html","Original Drawing","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin front 2 ORIGINAL.jpg"
"Barney Grin Guernical B&W.jpg",".jpg","181.1","True","Barney Grin Guernical","barney-grin-guernical.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin Guernical B&W.jpg"
"Barney Grin Guernical COLOR.jpg",".jpg","200.9","True","Barney Grin Guernical","barney-grin-guernical.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin Guernical COLOR.jpg"
"Barney Grin Guernical ORIGINAL.jpg",".jpg","204.3","True","Barney Grin Guernical","barney-grin-guernical.html","Original Drawing","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin Guernical ORIGINAL.jpg"
"Barney Grin ORIGINAL.jpg",".jpg","233.8","True","Barney Grin","barney-grin.html","Original Drawing","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin ORIGINAL.jpg"
"Barney Grin side B&W.jpg",".jpg","214.5","True","Barney Grin","barney-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin side B&W.jpg"
"Barney Grin side COLOR.jpg",".jpg","227.5","True","Barney Grin","barney-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin side COLOR.jpg"
"Barney Grin side ORIGINAL 2.jpg",".jpg","231.3","True","Barney Grin","barney-grin.html","Original Drawing","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin side ORIGINAL 2.jpg"
"Barney Grin side ORIGINAL closeup.jpg",".jpg","42.5","True","Barney Grin side ORIGINAL closeup","barney-grin-side-original-closeup.html","Original Drawing","False","Likely create new page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin side ORIGINAL closeup.jpg"
"Barney Grin side ORIGINAL.jpg",".jpg","252.5","True","Barney Grin","barney-grin.html","Original Drawing","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin side ORIGINAL.jpg"
"Bart Grin chubby back ORIGINAL.jpg",".jpg","144.5","True","Bart Grin chubby","bart-grin-chubby.html","Original Drawing","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bart Grin chubby back ORIGINAL.jpg"
"Bart Grin Chubby front B&W.jpg",".jpg","159.3","True","Bart Grin Chubby","bart-grin-chubby.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bart Grin Chubby front B&W.jpg"
"Bart Grin Chubby front COLOR.jpg",".jpg","192.2","True","Bart Grin Chubby","bart-grin-chubby.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bart Grin Chubby front COLOR.jpg"
"Bart Grin Chubby front ORIGINAL.jpg",".jpg","170.5","True","Bart Grin Chubby","bart-grin-chubby.html","Original Drawing","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bart Grin Chubby front ORIGINAL.jpg"
"Bart Grin Chubby side B&W.jpg",".jpg","149.5","True","Bart Grin Chubby","bart-grin-chubby.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bart Grin Chubby side B&W.jpg"
"Bart Grin chubby side ORIGINAL.jpg",".jpg","153.2","True","Bart Grin chubby","bart-grin-chubby.html","Original Drawing","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bart Grin chubby side ORIGINAL.jpg"
"Bart Grin chubby side raw file copy.jpg",".jpg","162","True","Bart Grin chubby side raw file","bart-grin-chubby-side-raw-file.html","Digitized Versions","False","Likely create new page","Filename contains copy: review whether duplicate or intentional. Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bart Grin chubby side raw file copy.jpg"
"Bart Grin front B&W.jpg",".jpg","173.9","True","Bart Grin","bart-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bart Grin front B&W.jpg"
"Bart Grin front COLOR.jpg",".jpg","190.2","True","Bart Grin","bart-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bart Grin front COLOR.jpg"
"Bart Grin front ORIGINAL COLOR.jpg",".jpg","168.8","False","Bart Grin","bart-grin.html","Original Drawing","True","Add to existing page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card. Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bart Grin front ORIGINAL COLOR.jpg"
"Bart Grin short front COLOR.jpg",".jpg","222.1","True","Bart Grin short","bart-grin-short.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bart Grin short front COLOR.jpg"
"Bart Grin short front COLOR.png",".png","88.6","True","Bart Grin short","bart-grin-short.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bart Grin short front COLOR.png"
"Bart Grin side B&W.jpg",".jpg","143.9","True","Bart Grin","bart-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bart Grin side B&W.jpg"
"Bart Grin side COLOR.jpg",".jpg","150.7","True","Bart Grin","bart-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bart Grin side COLOR.jpg"
"Bart Grin side ORIGINAL COLOR.jpg",".jpg","153.2","False","Bart Grin","bart-grin.html","Original Drawing","True","Add to existing page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card. Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bart Grin side ORIGINAL COLOR.jpg"
"Bart Grin side ORIGINAL.jpg",".jpg","331.3","True","Bart Grin","bart-grin.html","Original Drawing","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bart Grin side ORIGINAL.jpg"
"Bartman Grin flying B&W.jpg",".jpg","199.7","True","Bartman Grin flying","bartman-grin-flying.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bartman Grin flying B&W.jpg"
"Bartman Grin flying COLOR.jpg",".jpg","237.8","True","Bartman Grin flying","bartman-grin-flying.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bartman Grin flying COLOR.jpg"
"Bartman Grin flying ORIGINAL COLOR.jpg",".jpg","239","True","Bartman Grin flying","bartman-grin-flying.html","Original Drawing","True","Add to existing page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bartman Grin flying ORIGINAL COLOR.jpg"
"Bartman Grin flying ORIGINAL.jpg",".jpg","295.3","True","Bartman Grin flying","bartman-grin-flying.html","Original Drawing","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bartman Grin flying ORIGINAL.jpg"
"Baseball Grin B&W.jpg",".jpg","200.2","True","Baseball Grin","baseball-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baseball Grin B&W.jpg"
"Baseball Grin card.png",".png","197.3","True","Baseball Grin","baseball-grin.html","Collector Cards","True","Add to existing page","Filename suggests collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baseball Grin card.png"
"Baseball Grin COLOR.jpg",".jpg","217.3","True","Baseball Grin","baseball-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baseball Grin COLOR.jpg"
"Baseball Grin ORIGINAL COLOR 2.jpg",".jpg","217.4","True","Baseball Grin","baseball-grin.html","Original Drawing","True","Add to existing page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baseball Grin ORIGINAL COLOR 2.jpg"
"Baseball Grin ORIGINAL COLOR 3.jpg",".jpg","186.3","True","Baseball Grin","baseball-grin.html","Original Drawing","True","Add to existing page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baseball Grin ORIGINAL COLOR 3.jpg"
"Baseball Grin ORIGINAL.jpg",".jpg","240","True","Baseball Grin","baseball-grin.html","Original Drawing","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baseball Grin ORIGINAL.jpg"
"Basketball Bulldog Grin B&W.jpg",".jpg","192.4","True","Basketball Bulldog Grin","basketball-bulldog-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Basketball Bulldog Grin B&W.jpg"
"Basketball Bulldog Grin COLOR.jpg",".jpg","220.9","True","Basketball Bulldog Grin","basketball-bulldog-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Basketball Bulldog Grin COLOR.jpg"
"Basketball Grin B&W.jpg",".jpg","222.7","True","Basketball Grin","basketball-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Basketball Grin B&W.jpg"
"Basketball Grin back B&W.jpg",".jpg","156.3","True","Basketball Grin","basketball-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Basketball Grin back B&W.jpg"
"Basketball Grin back COLOR.jpg",".jpg","190.2","True","Basketball Grin","basketball-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Basketball Grin back COLOR.jpg"
"Basketball Grin back ORIGINAL colorway 1.jpg",".jpg","172.9","True","Basketball Grin","basketball-grin.html","Original Drawing","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Basketball Grin back ORIGINAL colorway 1.jpg"
"Basketball Grin back ORIGINAL colorway 2.jpg",".jpg","174.4","True","Basketball Grin","basketball-grin.html","Original Drawing","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Basketball Grin back ORIGINAL colorway 2.jpg"
"Basketball Grin back ORIGINAL colorway 3.jpg",".jpg","173.8","True","Basketball Grin","basketball-grin.html","Original Drawing","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Basketball Grin back ORIGINAL colorway 3.jpg"
"Basketball Grin back ORIGINAL.jpg",".jpg","183.7","True","Basketball Grin","basketball-grin.html","Original Drawing","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Basketball Grin back ORIGINAL.jpg"
"Basketball Grin COLOR.jpg",".jpg","283","True","Basketball Grin","basketball-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Basketball Grin COLOR.jpg"
"Basketball Grin head.jpg",".jpg","423.3","True","Basketball Grin","basketball-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Basketball Grin head.jpg"
"Basketball Grin ORIGINAL  colorway 2.jpg",".jpg","253.2","True","Basketball Grin","basketball-grin.html","Original Drawing","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Basketball Grin ORIGINAL  colorway 2.jpg"
"Basketball Grin ORIGINAL  colorway 3.jpg",".jpg","268.9","True","Basketball Grin","basketball-grin.html","Original Drawing","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Basketball Grin ORIGINAL  colorway 3.jpg"
"Basketball Grin ORIGINAL COLOR.jpg",".jpg","217.3","True","Basketball Grin","basketball-grin.html","Original Drawing","True","Add to existing page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Basketball Grin ORIGINAL COLOR.jpg"
"Basketball Grin ORIGINAL colorway 1.jpg",".jpg","251.8","True","Basketball Grin","basketball-grin.html","Original Drawing","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Basketball Grin ORIGINAL colorway 1.jpg"
"Basketball Grin side B&W.jpg",".jpg","174.5","True","Basketball Grin","basketball-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Basketball Grin side B&W.jpg"
"Basketball Grin side COLOR.jpg",".jpg","207.3","True","Basketball Grin","basketball-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Basketball Grin side COLOR.jpg"
"Basketball Grin side ORIGINAL.jpg",".jpg","208.3","True","Basketball Grin","basketball-grin.html","Original Drawing","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Basketball Grin side ORIGINAL.jpg"
"Bat Grin front B&W.jpg",".jpg","235.1","True","Bat Grin","bat-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bat Grin front B&W.jpg"
"Bat Grin front COLOR.jpg",".jpg","252.1","True","Bat Grin","bat-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bat Grin front COLOR.jpg"
"Bat Grin front ORIGINAL.jpg",".jpg","274","True","Bat Grin","bat-grin.html","Original Drawing","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bat Grin front ORIGINAL.jpg"
